"location","lat","lng"
"405 Brushy Creed Road, Cedar Park, TX","30.50537839999999","-97.8146589"
"7700 West Highway 71, Austin, TX","30.3021327","-97.9313346"
"Mountain View, CA","37.3860517","-122.0838511"
"Laredo, TX","27.5035613","-99.5075519"
"Austin, TX","30.267153","-97.74306079999999"
"Minneapolis, MN","44.977753","-93.2650108"
"Arlington, VA","38.8816208","-77.09098089999999"
"Cleveland, OH","41.49932","-81.6943605"
"Miami, FL","25.7616798","-80.1917902"
"Charlotte, NC","35.2270869","-80.8431267"
"Greensboro, NC","36.0726354","-79.7919754"
"Huntington, NY","40.8681539","-73.425676"
"Seattle, WA","47.6062095","-122.3320708"
"San Jose, CA","37.3382082","-121.8863286"
"Boston, MA","42.3600825","-71.0588801"
"Tulsa, OK","36.1539816","-95.99277500000001"
